config_id,family,ell,alpha,eta_out,corr_out,E_roi,core_ratio,barrier_reduction_pct,pass_hard,J
lg_l1_w0.6_f2.0_uni,lg,1,0.4,0.05485442215761466,0.9970991852268032,0.24566508936522705,1.0,-9.339795211568159,False,-1.0
bessel_l1_kr4234_uni,bessel,1,0.05,0.011604673475282549,0.9998863637131407,0.24029010167872722,1.0238627891788563,-0.9259389416438113,True,0.4696053149532987
bessel_l1_kr4234_uni,bessel,1,0.1,0.0232093469505651,0.999544823526064,0.24029010167872722,1.0238627891788563,-1.8330361523166472,False,-1.0
bessel_l1_kr4234_uni,bessel,1,0.2,0.046418693901130195,0.9981842390739508,0.24029010167872722,1.0238627891788563,-3.589342307771215,False,-1.0
bessel_l1_kr4234_uni,bessel,1,0.4,0.09283738780226039,0.9927661927898807,0.24029010167872722,1.0238627891788563,-6.946752109804932,False,-1.0
bessel_l1_kr8468_uni,bessel,1,0.05,0.011070308279300157,0.9998928097121317,0.17412339673298355,0.9741839273417229,0.026893589046961264,True,0.38645560791195244
bessel_l1_kr8468_uni,bessel,1,0.1,0.022140616558600314,0.9995749182925341,0.17412339673298355,0.9741839273417229,0.0526433784861835,False,-1.0
bessel_l1_kr8468_uni,bessel,1,0.2,0.04428123311720063,0.9983388120392414,0.17412339673298355,0.9741839273417229,0.07019543204633827,False,-1.0
bessel_l1_kr8468_uni,bessel,1,0.4,0.08856246623440125,0.9935113894464216,0.17412339673298355,0.9741839273417229,-0.013272661956542642,False,-1.0
bessel_l1_kr12702_uni,bessel,1,0.05,0.004371498773829563,0.9999838289600148,0.1378744929317003,0.9570520741134313,-0.11847953521899601,True,0.5146775116914675
bessel_l1_kr12702_uni,bessel,1,0.1,0.008742997547659127,0.999935135778071,0.1378744929317003,0.9570520741134313,-0.23624857106832042,True,0.4709552199758802
bessel_l1_kr12702_uni,bessel,1,0.2,0.017485995095318254,0.9997390459991946,0.1378744929317003,0.9570520741134313,-0.4696551446583097,True,0.3834958310324575
bessel_l1_kr12702_uni,bessel,1,0.4,0.034971990190636515,0.9989469233111843,0.1378744929317003,0.9570520741134313,-1.043930142621985,False,-1.0
bessel_l2_kr4234_uni,bessel,2,0.05,0.031714742682347176,0.9990645564505276,0.13271366051471128,0.6411493460963174,-1.3710858587641983,False,-1.0
bessel_l2_kr4234_uni,bessel,2,0.1,0.06342948536469435,0.9962839174570337,0.13271366051471128,0.6411493460963174,-2.7663919741157006,False,-1.0
bessel_l2_kr4234_uni,bessel,2,0.2,0.1268589707293887,0.9851142740535354,0.13271366051471128,0.6411493460963174,-5.747963215482121,False,-1.0
bessel_l2_kr4234_uni,bessel,2,0.4,0.2537179414587774,0.9429091015474257,0.13271366051471128,0.6411493460963174,-11.987713048903913,False,-1.0
bessel_l2_kr8468_uni,bessel,2,0.05,0.02445525253692236,0.9994859194986636,0.1393565040597086,0.6590015763118456,0.11595567622165737,False,-1.0
bessel_l2_kr8468_uni,bessel,2,0.1,0.04891050507384472,0.9979900876282781,0.1393565040597086,0.6590015763118456,0.05449091969803588,False,-1.0
bessel_l2_kr8468_uni,bessel,2,0.2,0.09782101014768944,0.9919093479325628,0.1393565040597086,0.6590015763118456,-0.06884295800491103,False,-1.0
bessel_l2_kr8468_uni,bessel,2,0.4,0.1956420202953789,0.9677848942270564,0.1393565040597086,0.6590015763118456,-0.3171281720338204,False,-1.0
bessel_l2_kr12702_uni,bessel,2,0.05,0.010374197505532678,0.9999143409724838,0.1443890996564021,0.684656682420143,-0.264107681874437,True,0.32698438092599097
bessel_l2_kr12702_uni,bessel,2,0.1,0.020748395011065356,0.9996569432845704,0.1443890996564021,0.684656682420143,-0.5293094982808055,False,-1.0
bessel_l2_kr12702_uni,bessel,2,0.2,0.04149679002213071,0.9986203206861961,0.1443890996564021,0.684656682420143,-1.061632461711115,False,-1.0
bessel_l2_kr12702_uni,bessel,2,0.4,0.08299358004426143,0.994472489615896,0.1443890996564021,0.684656682420143,-2.1339557110417795,False,-1.0
bessel_l3_kr4234_uni,bessel,3,0.05,0.010103404951418777,0.9999161332966721,0.06466512106253024,0.49072189236936015,-0.4050537299828072,True,0.2773876980551796
bessel_l3_kr4234_uni,bessel,3,0.1,0.020206809902837554,0.9996633107972188,0.06466512106253024,0.49072189236936015,-0.8112630212359306,False,-1.0
bessel_l3_kr4234_uni,bessel,3,0.2,0.04041361980567511,0.9986511869924298,0.06466512106253024,0.49072189236936015,-1.6819831035344457,False,-1.0
bessel_l3_kr4234_uni,bessel,3,0.4,0.08082723961135022,0.9945929577295926,0.06466512106253024,0.49072189236936015,-3.48361060997171,False,-1.0
bessel_l3_kr8468_uni,bessel,3,0.05,0.005547995455412996,0.9999752712449457,0.06510821019457735,0.5289556535964665,-0.2707611643842034,True,0.3240172800211678
bessel_l3_kr8468_uni,bessel,3,0.1,0.011095990910825993,0.9999012670085152,0.06510821019457735,0.5289556535964665,-0.5418859317163571,True,0.26852622483157335
bessel_l3_kr8468_uni,bessel,3,0.2,0.022191981821651986,0.9996061750499624,0.06510821019457735,0.5289556535964665,-1.0852262752248265,False,-1.0
bessel_l3_kr8468_uni,bessel,3,0.4,0.04438396364330397,0.9984381623878588,0.06510821019457735,0.5289556535964665,-2.1762701976183685,False,-1.0
bessel_l3_kr12702_uni,bessel,3,0.05,0.002082254224094174,0.9999964950654858,0.0750741694459228,0.5677365250382048,-0.09260432178499478,True,0.38966440036715805
