config_id,family,ell,offset_x_mm,apod,beam_waist_mm,focal_length_mm,k_r,eta_out,corr_out,E_roi,core_ratio,core_min_Pa,peak_roi_Pa,w_1.0lam,w_1.5lam,w_2.0lam,winding_std,centroid_x_mm,centroid_y_mm,core_x_mm,core_y_mm,trap_crosstalk_mean_pct,trap_crosstalk_max_pct,barrier_reduction_pct,pass_hard,J
lg_l2_w0.8_cos,lg,2,0.0,cosine_taper,0.8,nan,nan,0.05816154811992981,0.9970086379551508,0.1318238622199345,0.8296363152900165,0.007053210797216879,1.3436474713864652,2.0,2.0,2.0,2.8665835232995054e-16,2.9849691673008336,3.028690204976564,3.4425226130653273,2.6936381909547746,3.403280361362449,10.545784181389825,-2.4492942711954235,False,-1.0
lg_l2_w0.8_f1.5_cos,lg,2,0.0,cosine_taper,0.8,1.5,nan,0.07319820850971549,0.9948296264148461,0.13098749790539252,0.729874614640374,0.0229891364963501,1.4511107225265985,2.0,4.0,2.0,0.9428090415820631,2.9720265731824367,3.0208304115412097,3.32905527638191,3.9871658291457295,5.149403386310022,12.82151098373012,-4.921614954121956,False,-1.0
lg_l2_w0.8_f2.0_cos,lg,2,0.0,cosine_taper,0.8,2.0,nan,0.07066227711469496,0.9951258151184916,0.13064594108786334,0.7472852451298776,0.0124795079933892,1.4459263141672085,2.0,3.0,2.0,0.4714045207910319,2.974735966515548,3.022942894328204,3.32905527638191,3.9871658291457295,4.996698266849122,12.225033338173283,-4.7798538356561115,False,-1.0
lg_l2_w0.8_f2.5_cos,lg,2,0.0,cosine_taper,0.8,2.5,nan,0.06872177801804372,0.9953913706213638,0.13053436784276987,0.7596545979027097,0.03155384927040667,1.4363669242391488,2.0,3.0,2.0,0.4714045207910319,2.9765790039701687,3.024268831798509,3.4425226130653273,2.4893969849246234,4.800925957026705,12.419454936066257,-4.55757754953765,False,-1.0
lg_l3_w0.4_cos,lg,3,0.0,cosine_taper,0.4,nan,nan,0.020192170352877906,0.999646626445631,0.06392458288927975,0.4758308118179851,0.00867394660993031,0.2821409208581869,0.0,-5.0,0.0,2.357022603955159,3.1386424289470423,2.995039092695813,2.9659597989949753,2.4893969849246234,1.3014834714698715,4.50265728057831,-1.0677121437770332,False,-1.0
lg_l3_w0.4_f1.5_cos,lg,3,0.0,cosine_taper,0.4,1.5,nan,0.019384334862502503,0.9996414083106872,0.06395849216551458,0.47804918061333423,0.007652033616280075,0.27212417708452186,-0.0,-5.0,0.0,2.357022603955158,3.1392631667490214,2.9937608971164456,2.9659597989949753,2.4893969849246234,1.232049374021167,4.28746415974689,-0.43698812480124083,True,0.18404371517829002
lg_l3_w0.4_f2.0_cos,lg,3,0.0,cosine_taper,0.4,2.0,nan,0.019769121332481925,0.9996316524725323,0.06394981249125521,0.47760002555763975,0.007943707675612362,0.27728116412160303,-0.0,-5.0,-0.0,2.357022603955158,3.1391682470498714,2.9939861256974742,2.9659597989949753,2.4893969849246234,1.2730627710222677,4.423642667342635,-0.5717285739866851,True,0.18018098830781537
lg_l3_w0.4_f2.5_cos,lg,3,0.0,cosine_taper,0.4,2.5,nan,0.01995448467371668,0.9996293010536025,0.06394430943914652,0.4772904053281475,0.008113561868420284,0.27970649485611854,0.0,-5.0,-0.0,2.357022603955158,3.1390922718065024,2.994147778795964,2.9659597989949753,2.4893969849246234,1.3000152897526758,4.591352756876594,-0.691024124708739,True,0.17831788591386388
lg_l3_w0.6_cos,lg,3,0.0,cosine_taper,0.6,nan,nan,0.030383904526271245,0.9992082790001425,0.06388073725068587,0.47813495417313434,0.012540194933583227,0.42784393833887074,0.0,-5.0,1.0,2.160246899469287,3.1405255914707713,2.9911633288224184,2.9659597989949753,2.4893969849246234,1.955080624650173,6.799420746517801,-1.572466627896163,False,-1.0
lg_l3_w0.6_f1.5_cos,lg,3,0.0,cosine_taper,0.6,1.5,nan,0.028893508202735268,0.999198580183302,0.06404300493248088,0.483478954316865,0.010424496244246604,0.41052358640005576,-0.0,-5.0,1.0,2.1602468994692874,3.1420366861923834,2.9898351718717606,2.9659597989949753,2.4893969849246234,1.834660851471564,5.77013770482051,-0.7931421587482168,False,-1.0
